Geneid,H.input1,H.input2,H.input3,H.input4,H.ip1,H.ip2,H.ip3,H.ip4,T.input1,T.input2,T.input3,T.input4,T.ip1,T.ip2,T.ip3,T.ip4
ENSG00000279928,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
ENSG00000228037,1,0,0,0,0,0,0,1,0,0,3,0,0,0,3,0
ENSG00000142611,67,56,72,49,31,52,35,33,0,0,0,0,0,2,3,1
ENSG00000284616,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000157911,154,154,148,151,59,110,61,63,162,128,130,145,71,59,40,72
ENSG00000269896,8,8,9,9,7,9,12,9,20,27,22,17,6,18,12,17
ENSG00000228463,2,1,2,4,4,13,9,5,1,0,4,2,0,1,4,1
ENSG00000260972,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000224340,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ENSG00000226374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000142655,351,280,345,329,127,202,168,142,447,320,517,384,195,219,213,275
ENSG00000232596,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000235054,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
ENSG00000231510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000149527,1,1,1,0,1,1,0,3,31,13,16,21,6,7,11,14
ENSG00000284739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000171621,146,84,88,141,59,73,65,64,128,128,105,118,65,79,57,91
ENSG00000272235,2,2,1,3,2,5,0,0,0,0,0,0,0,0,1,0
ENSG00000284694,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000224387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000142583,0,0,0,0,1,0,0,0,43,103,37,144,22,99,31,90
ENSG00000284674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
ENSG00000224338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000287727,0,0,1,1,1,1,1,1,1,3,0,0,3,2,6,2
ENSG00000286448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284703,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000226457,2,1,0,1,3,1,2,2,3,3,5,3,4,9,5,8
ENSG00000173614,124,136,115,120,121,158,135,197,154,180,124,145,139,286,220,132
